void_id,ra_deg,dec_deg,z,r_eff_mpc,source_catalog,vizier_catalog
60,114.782,37.641,0.648,32.298,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
10020,184.261,1.326,0.5,15.964,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11496,124.855,3.09,0.648,52.473,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15935,230.976,13.239,0.459,38.683,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4407,237.406,16.985,0.463,63.467,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
20571,235.861,56.008,0.457,56.705,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
13976,131.182,28.707,0.498,29.199,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
2571,138.792,2.233,0.52,64.052,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4535,228.21,20.057,0.591,63.679,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
1267,154.54,-0.619,0.459,40.98,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12454,235.558,11.513,0.638,90.295,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11862,176.75,5.126,0.586,80.243,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
5455,206.313,0.163,0.64,89.801,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
1005,125.041,38.447,0.46,54.079,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
6886,251.844,21.969,0.495,84.756,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4669,195.568,0.33,0.482,39.445,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
6677,255.014,24.193,0.479,27.477,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
2619,160.558,-0.643,0.467,46.066,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21634,192.072,54.127,0.46,73.064,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
9173,212.982,39.695,0.487,50.79,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
18077,215.769,18.882,0.649,85.851,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
13556,220.837,36.76,0.659,51.289,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17290,144.126,28.605,0.572,73.406,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11581,240.589,5.557,0.454,33.12,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4859,208.529,0.347,0.578,63.044,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21371,163.626,49.028,0.459,58.772,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17711,223.573,20.632,0.512,54.131,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
22524,234.611,55.462,0.644,70.178,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15117,178.867,12.927,0.459,44.445,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12812,256.34,31.79,0.496,55.864,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
6729,250.69,20.509,0.549,62.158,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
2591,132.522,2.263,0.583,63.848,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
10024,183.139,1.739,0.477,21.347,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4395,238.258,20.882,0.595,91.328,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
13669,133.778,46.359,0.583,60.554,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19796,153.402,23.473,0.536,41.471,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19847,167.397,25.655,0.569,65.068,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19861,171.603,27.345,0.652,82.37,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
22129,194.166,43.544,0.466,69.996,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
18298,173.896,19.534,0.656,71.203,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21068,171.493,59.727,0.5,59.081,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17611,206.257,24.07,0.466,69.175,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17222,141.005,32.063,0.47,70.332,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
3576,224.795,30.535,0.605,62.732,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21921,229.089,46.365,0.516,60.777,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
22520,229.253,54.721,0.657,58.571,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
8794,138.556,39.662,0.514,59.922,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
3296,212.817,34.36,0.509,60.75,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
10593,182.567,3.819,0.513,46.27,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
5278,227.462,0.722,0.463,39.829,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
900,123.398,40.356,0.607,20.556,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
825,116.284,33.865,0.533,61.25,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4866,201.439,1.388,0.532,33.803,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17574,207.941,28.323,0.454,26.026,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19336,202.175,30.639,0.504,30.808,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15558,142.483,11.586,0.464,60.952,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17812,194.466,26.258,0.654,70.2,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
7221,117.051,31.419,0.505,39.906,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12374,225.297,6.349,0.517,59.983,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16030,216.943,14.667,0.661,57.14,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4403,242.153,19.984,0.489,51.274,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
9778,159.312,34.103,0.586,65.572,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
2211,139.595,-0.905,0.533,20.269,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4457,226.458,19.415,0.537,61.399,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
20012,169.425,31.849,0.46,70.088,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21786,208.13,58.841,0.452,34.858,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14752,217.584,7.1,0.465,43.625,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12573,202.708,6.481,0.469,55.642,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
2596,137.224,2.7,0.654,56.514,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17603,214.937,26.553,0.632,74.358,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15033,177.622,13.683,0.503,58.728,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14779,184.296,7.955,0.503,55.452,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4637,200.281,0.6,0.663,55.805,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
