RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY
94.3742939802875,0.462508423001391,0.2051562,SDSS,94,0,2
49.3978310458689,1.27356203995056,0.169056,SDSS,49,1,7
87.097556156882,1.0979898221082,0.624984,SDSS,87,1,4
101.042872578408,0.56180302911532,0.1288867,SDSS,101,0,1
119.565801322409,0.114221408041834,0.05640503,SDSS,119,0,55
122.039458544031,0.909851663792495,0.5037588,SDSS,122,0,118
122.034914982296,0.906529541370719,0.5065914,SDSS,122,0,118
122.01592259842,0.907141823313196,0.5023993,SDSS,122,0,118
122.015447959069,0.849471395410085,0.5030649,SDSS,122,0,118
122.104554647143,0.967015264196525,0.5184389,SDSS,122,0,118
122.087899886235,0.843146890967,0.1015183,SDSS,122,0,118
121.938714042847,0.949425310987271,0.5024431,SDSS,121,0,105
121.910430287744,0.896389034158332,0.5857561,SDSS,121,0,105
121.820751766195,0.931990370368578,0.1019892,SDSS,121,0,105
121.708487246868,0.874751415107719,0.7726303,SDSS,121,0,105
121.748271104126,0.891009525159416,0.5792872,SDSS,121,0,105
121.802125760104,0.855475506599758,0.504749,SDSS,121,0,105
121.705773807429,0.944248110232732,0.5776114,SDSS,121,0,105
121.676822923036,0.854560270086982,0.2584088,SDSS,121,0,105
121.665166184215,0.908644540563352,0.3595681,SDSS,121,0,105
121.61040219767,0.871273221254356,0.3580568,SDSS,121,0,105
121.47825637102,0.956039617350114,0.6323396,SDSS,121,0,105
121.490964721629,0.890346349216577,0.5089095,SDSS,121,0,105
121.412230238258,0.984511769051693,0.5873108,SDSS,121,0,105
121.445398493721,1.00625083642566,0.7584789,SDSS,121,1,17
121.440384151225,0.934499912625794,0.4112234,SDSS,121,0,105
121.37069489471,0.979036635258827,0.09697511,SDSS,121,0,105
121.479888618515,0.921163883849215,0.5062081,SDSS,121,0,105
121.35675676604,0.950815005258633,0.5792478,SDSS,121,0,105
121.354429095805,0.881636257073261,0.5670563,SDSS,121,0,105
