RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY
94.3742939802875,0.462508423001391,0.2051562,SDSS,94,0,2
49.3978310458689,1.27356203995056,0.169056,SDSS,49,1,7
87.097556156882,1.0979898221082,0.624984,SDSS,87,1,4
101.042872578408,0.56180302911532,0.1288867,SDSS,101,0,1
121.445398493721,1.00625083642566,0.7584789,SDSS,121,1,17
121.061604737861,1.00643834558467,0.09642675,SDSS,121,1,17
121.143647599386,-0.0101566472462072,0.5352152,SDSS,121,-1,35
121.90356833488,-0.268138063407872,0.2178683,SDSS,121,-1,35
121.403601660713,-0.297655774931697,0.4871793,SDSS,121,-1,35
121.297510473899,-0.283448158369323,0.6206515,SDSS,121,-1,35
121.217854287816,-0.360682473930254,0.4688964,SDSS,121,-1,35
119.890049332444,-0.336443050928835,0.4859758,SDSS,119,-1,17
119.950328388217,-0.31838061811945,0.4889229,SDSS,119,-1,17
119.919816611753,-0.312472435144607,0.3122884,SDSS,119,-1,17
119.905906720736,-0.345295476622283,0.4884937,SDSS,119,-1,17
119.953280474137,-0.36164516596518,0.4879457,SDSS,119,-1,17
119.841274252397,-0.301031657042821,0.4847252,SDSS,119,-1,17
119.79867031241,-0.280338966143504,0.3522927,SDSS,119,-1,17
86.1836304107512,1.31863812280928,0.05309878,SDSS,86,1,8
86.1828180159515,1.29621595318584,0.1315074,SDSS,86,1,8
81.6133783879045,1.34120288809852,0.2457022,SDSS,81,1,23
81.5406956983117,1.3799669493689,0.1491567,SDSS,81,1,23
81.2979880223249,1.32844937226292,0.6226996,SDSS,81,1,23
81.0363589116682,1.31128269466073,0.6312224,SDSS,81,1,23
81.065797775966,1.35053488044535,0.2184164,SDSS,81,1,23
80.8947471405676,1.40198922987804,0.1448618,SDSS,80,1,31
80.9826547984619,1.35005674109972,0.1245463,SDSS,80,1,31
80.5847142056174,1.31102000818205,0.3381552,SDSS,80,1,31
80.5575344200521,1.32703153874234,0.2550786,SDSS,80,1,31
