idx,void_id,void_ra_deg,void_dec_deg,void_z,r_eff_mpc,theta_void_deg,n_center,n_edge,n_total_RM,center_abs_RM_mean,edge_abs_RM_mean,center_abs_RM_median,edge_abs_RM_median,center_RM_mad,edge_RM_mad,LRI_abs,LRI_mad,PVGU_VOID_RM_index,agn_count_0.5R,agn_z_median_0.5R,agn_count_1.0R,agn_z_median_1.0R,agn_count_1.5R,agn_z_median_1.5R,agn_count_2.0R,agn_z_median_2.0R,agn_count_3.0R,agn_z_median_3.0R,agn_inner_count_0.5_1.0R,agn_shell_count_0.5_1.0R,agn_inner_density_0.5_1.0R,agn_shell_density_0.5_1.0R,agn_shell_contrast_0.5_1.0R,agn_inner_count_1.0_1.5R,agn_shell_count_1.0_1.5R,agn_inner_density_1.0_1.5R,agn_shell_density_1.0_1.5R,agn_shell_contrast_1.0_1.5R,agn_inner_count_1.0_2.0R,agn_shell_count_1.0_2.0R,agn_inner_density_1.0_2.0R,agn_shell_density_1.0_2.0R,agn_shell_contrast_1.0_2.0R,agn_inner_count_1.5_3.0R,agn_shell_count_1.5_3.0R,agn_inner_density_1.5_3.0R,agn_shell_density_1.5_3.0R,agn_shell_contrast_1.5_3.0R,agn_large_count_2.0R,agn_large_density_2.0R,agn_large_count_3.0R,agn_large_density_3.0R,agn_large_count_5.0R,agn_large_density_5.0R,agn_large_count_8.0R,agn_large_density_8.0R,agn_weight_near_0.5R,agn_weight_far_0.5R,agn_weight_zmatch005_0.5R,agn_weight_zmatch010_0.5R,agn_weight_near_1.0R,agn_weight_far_1.0R,agn_weight_zmatch005_1.0R,agn_weight_zmatch010_1.0R,agn_weight_near_1.5R,agn_weight_far_1.5R,agn_weight_zmatch005_1.5R,agn_weight_zmatch010_1.5R,agn_weight_near_2.0R,agn_weight_far_2.0R,agn_weight_zmatch005_2.0R,agn_weight_zmatch010_2.0R,agn_weight_near_3.0R,agn_weight_far_3.0R,agn_weight_zmatch005_3.0R,agn_weight_zmatch010_3.0R,void_nn1_angle_deg,void_nn5_mean_angle_deg,void_nn10_mean_angle_deg,void_isolation_index,void_network_count_3R_dz0.02,void_network_weight_3R_dz0.02,void_network_count_3R_dz0.05,void_network_weight_3R_dz0.05,void_network_count_3R_dz0.1,void_network_weight_3R_dz0.1,PCA1,PCA2,KMEANS_CLUSTER,PVGU_Z,ISO_Z,AGN_Z,NET_Z,TOPOCLASS_SCORE,TOPOCLASS_QUINTILE
4,4407,237.406,16.985,0.463,63.467,1.8350412982967617,4,12,16,19.325,52.17916666666667,21.55,13.625,5.337359999999997,17.420550000000002,0.4594720587378295,0.530944625407143,0.4844874570720892,94,1.8695,413,1.84,1072,1.8185,2173,1.788,5009,1.795,94,319,35.542362086077844,40.20572165056324,0.0615640599001656,413,659,39.03988175944189,49.83492896750065,0.1214635184003391,413,1760,39.03988175944189,55.456167793880326,0.1737245748582842,1072,3937,45.03713020836342,55.13407389002699,0.1007968684468045,2173,51.35209628527072,5009,52.60983796961109,12981,49.08248959993368,30817,45.51649652620765,40.54859461462157,163.691,2.134459195999649,4.493110047893558,180.48812789522844,704.8610000000001,14.516436183195893,26.60542440094396,467.98158836012817,1828.293,33.273202361234304,63.71881512020469,942.8681410387268,3664.05,64.62581340466429,122.8716401154431,2158.3040557245604,8487.62,140.13644054775543,263.91501239280205,3.979415651957716,5.544849436386,6.978623817357726,3.0216483092394517,3,0.2740038268800511,3,0.6921341614922688,3,1.200212638703298,-1.3227394596331008,2.005660230823159,0,2.0410359730804135,1.0094557963314315,-0.5448742650805306,-0.594868734541381,4.190234769033756,T5_ANOMALO
5,20571,235.861,56.008,0.457,56.705,1.6610550201892336,3,12,15,27.73333333333333,26.775,20.700000000000003,22.05,28.021140000000003,21.201179999999997,-0.0175814095704017,-0.1385542168674672,-0.0599218921243746,293,1.581,1071,1.5335,2421,1.551,4487,1.571,10440,1.599,293,778,135.21027708295992,119.67417015988944,-0.0609535304767649,1071,1350,123.55819689065709,124.59650106620876,0.0041841004184098,1071,3416,123.55819689065709,131.36470606239791,0.0306230200633577,2421,8019,124.13503254374136,137.05615117282966,0.0494699646643107,4487,129.41307876946271,10440,133.8258715155576,23096,106.58076994907992,53128,95.76913930332093,124.97276981029748,456.165,5.84526254591117,11.10437640168664,462.91651280236886,1632.7779999999998,24.996024513972223,46.57006586057655,1036.4121758055544,3765.165,59.43221461602487,110.19586710118335,1894.0064526742656,7113.475,100.92066259230114,191.7556263561371,4371.17031081822,16775.181,221.7337234588153,424.614419997099,1.478365623801611,3.9265730587978327,5.7572897450787925,2.363903068272921,3,0.0130885170482973,3,0.2230860345100937,3,0.7265245090557391,-0.7593070383342082,-0.6250272133543361,0,-0.5882211554361272,0.4325068422298203,-0.3557856503043639,-0.594868734541381,0.7949400716394379,T1_FORTE
7,2571,138.792,2.233,0.52,64.052,1.6489527630175904,5,15,20,15.54,16.78,13.7,20.200000000000003,11.8608,24.75942,0.0383663366336621,0.3522267206477636,0.1482174710385977,220,1.3335,937,1.323,2126,1.336,3753,1.305,7395,1.311,220,717,103.01877229960574,111.91584808911716,0.0413943355119823,937,1189,109.6915791417393,111.35392751293745,0.007520389789217,937,2816,109.6915791417393,109.8866904529128,0.0008885729518393,2126,5269,110.61510601462716,91.38146653983544,-0.0952176526144067,3753,109.83791262511942,7395,96.18987640853338,14016,65.63232329778519,28369,51.89168237513344,103.64788765287616,311.01300000000003,5.909166126877704,13.560212849494008,433.833187746677,1322.785,37.397204499191886,72.26544217171408,988.8768662862284,2980.831,85.22132484715152,168.1178368724193,1765.0932482655626,5225.124,158.99277773209224,309.3519240594625,3466.689034165081,10385.434,321.14044522177835,616.9564584567579,1.7405346282397285,4.186072231169708,5.840751115173164,2.538624710817452,4,0.4814317328868308,4,1.032023200110666,4,1.793587426671973,-0.8831325228527356,0.3830600124117289,0,0.41700020075268507,0.5857659806416057,-0.3971356438988555,-0.5304359654301102,1.9303377907232564,T1_FORTE
10,12454,235.558,11.513,0.638,90.295,1.894618994497176,4,17,21,17.3,15.667647058823528,19.200000000000003,9.95,16.82751,16.901639999999997,-0.0495137835667752,0.002197802197802,-0.0314147285491732,127,2.01,510,1.8435,1048,1.841,1942,1.865,4457,1.876,127,383,45.04743482068454,45.28390429480887,0.0026178010471203,510,538,45.224786926277794,38.166173123666574,-0.084644831986388,510,1432,45.224786926277794,42.328035868254766,-0.0330857528696823,1048,3409,41.303334813716006,44.78469096054639,0.0404394933618185,1942,43.05222363276052,4457,43.9143519238388,12960,45.96966576976943,29810,41.30364271667711,54.9689990376059,221.051,1.59783650605908,4.59323331907593,229.2297893307697,840.0260000000001,10.278493271638308,23.08056739072703,460.4423657500157,1764.787,31.214025387970626,59.3808170598123,857.0337225291223,3252.785,56.93514633520413,115.0174099689042,1931.338349417138,7600.227000000001,132.11529518266158,262.7192144832816,2.753790783401356,4.525010718810937,6.53140711161071,2.388348650547266,4,5.727011430201952e-06,4,0.0137786590746689,4,0.2130091830206036,-0.855056110859765,-0.49998007210484224,0,-0.4505441240726618,0.4539495714920846,-0.5482383323560147,-0.5304359654301102,1.0820797452055477,T1_FORTE
11,11862,176.75,5.126,0.586,80.243,1.8331094843339384,3,14,17,13.5,22.639285714285712,11.7,15.7,16.901639999999997,8.00604,0.2528906018381192,-0.3571428571428427,0.0393788911947825,83,2.0595,419,2.072,1080,1.907,2024,1.957,5212,1.7895,83,336,31.449330329634662,42.43765056529015,0.1487179487179467,419,661,39.69057050637628,50.0915839708157,0.1158472251529846,419,1605,39.69057050637628,50.67889074203176,0.1215932914046108,1080,4132,45.46891131995373,57.98689554754594,0.1209983722192067,2024,47.93181068311789,5212,54.857399490647886,16599,62.894871583326,34419,50.94383003650675,35.061653234364364,143.107,1.5474256070250922,3.746898494309225,183.89039854389225,708.9559999999999,6.080766429732924,15.879406338631556,472.9699140045964,1830.926,21.696956809661827,50.89200786108138,877.6434917356196,3465.546,44.9456413557014,98.94941816097108,2271.7701865451104,8723.837,125.33190706587766,263.002203418211,1.1515417235555816,3.0573760829287897,4.743793621644843,1.6678633267985197,6,0.3205582632283881,6,1.004591955723779,6,1.8275018252563249,-0.49202911531167387,-0.20144933465062106,0,-0.10864215335886808,-0.17803258222379756,-0.5437529093220359,-0.4015704272075684,0.6586486009469387,T2_MODERADO
13,1005,125.041,38.447,0.46,54.079,1.5738005182283517,4,9,13,13.275,9.244444444444444,16.1,4.699999999999999,15.493169999999996,5.78214,-0.1789811274207396,-0.4564459930313373,-0.2760938303844488,226,1.662,972,1.579,2066,1.56,3617,1.585,8459,1.575,226,746,116.17674110045144,127.82868563559998,0.0477528089887638,972,1094,124.91569950181284,112.4755351892866,-0.0524036379385014,972,2645,124.91569950181284,113.30659299804356,-0.0487322424024453,2066,6393,118.00449710596492,121.71712649216424,0.0154872527996187,3617,116.20886962398588,8459,120.7889691456144,24224,124.52501665563436,57525,115.5120822698332,94.28026604230584,367.808,4.685123968270757,9.69241114539582,410.6616578913821,1547.273,19.097144845673704,37.925190176110384,875.4391088398777,3276.811,39.06770674245693,79.53649988123172,1536.2911060817382,5769.899,68.5427599077878,138.20624395150642,3597.3409101950497,13454.262,165.84463373059117,327.2430516673057,3.174948038817757,7.188966593858107,8.288975311640566,4.567902037512515,1,5.545159943217695e-05,1,0.0198410947443702,1,0.140858420921045,-1.7245131047143842,-1.5199967281881468,0,-1.632236307810791,2.36577039313785,-0.4055458120875656,-0.7237342727639228,1.8628141701785474,T1_FORTE
14,6886,251.844,21.969,0.495,84.756,2.29215571056868,5,16,21,13.46,27.9875,11.5,17.400000000000002,13.195140000000002,9.340380000000003,0.3505036491947559,-0.1710526315789396,0.1679589509239625,242,1.922,907,1.8385,1890,1.7915,2983,1.787,5435,1.738,242,665,58.64584538944453,53.718301906309385,-0.043853342918763,907,983,54.95018777709317,47.64369092382149,-0.0712176685957236,907,2076,54.95018777709317,41.92450930733018,-0.1344590368980598,1890,3545,50.891022858608906,31.818108647930966,-0.2306022788931062,2983,45.18092892477093,5435,36.58633720060045,17148,41.5561552371155,45493,43.065202807044166,98.57998002848186,438.152,6.2044439547008725,10.837624560368385,379.3954991629158,1564.8650000000002,24.789716009971343,45.14444720269189,796.4133505791008,3223.04,52.495686025954015,97.32456910840364,1268.4813463305177,5038.079,83.74196736027577,157.50605107064962,2370.4703240729564,8975.096000000001,164.2895296853028,306.5050788083598,1.1142887060576403,1.32079673522311,3.850730296016297,0.5762246993660157,6,0.0745109461111399,6,0.6046552417939615,6,1.6267286417800289,-0.006977806709699901,0.3480975116622426,0,0.5123428446523033,-1.1355762102531033,-0.4302156387744488,-0.4015704272075684,0.2085527003812172,T2_MODERADO
19,9173,212.982,39.695,0.487,50.79,1.3961372514678132,6,9,15,9.55,18.200000000000003,9.150000000000002,17.1,9.71103,15.41904,0.3117117117117006,0.2271386430678375,0.2821111376863485,93,1.5,570,1.5830000000000002,1478,1.583,2817,1.5855,6658,1.58,93,477,60.748678814117625,103.8606444241366,0.2619047619047604,570,908,93.08265302163184,118.6232265875673,0.1206417772292496,570,2247,93.08265302163184,122.313872128425,0.1357088703563299,1478,5180,107.27186055826266,125.31985514023468,0.0775951737050131,2817,115.00606735172671,6658,120.80785649474169,20064,131.0603754544576,47799,121.96430185803126,42.26330543590177,143.228,1.3821960135190428,3.52126728284256,240.41551673616652,930.653,10.2717606221138,19.983301453631164,623.6171254856956,2377.066,31.178280148444166,62.23407609831295,1187.924497173726,4519.3,52.70063021016034,108.95267774767235,2811.160475318045,10687.665,132.32884476062875,264.7737357286088,3.18939639250256,4.598294881706138,5.864472617923688,3.2935836909075227,2,0.0105773344774513,2,0.1720775866785144,2,0.5027830677564398,-1.3782091187318455,1.0574784370984764,0,1.0636475774305851,1.2479871064266108,-0.4879654603369252,-0.6593015036526518,3.458901647846773,T5_ANOMALO
20,18077,215.769,18.882,0.649,85.851,1.770840821601036,3,12,15,10.116666666666667,10.9,4.050000000000001,5.9,8.59908,12.37971,0.0372720063441695,0.180212014134267,0.0873010090707036,122,1.83,479,1.573,1035,1.736,1836,1.731,4622,1.815,122,357,49.5348554122094,48.31678519715508,-0.0124481327800828,479,556,48.62130275091865,45.14980263801381,-0.0370210002164967,479,1357,48.62130275091865,45.91448005079793,-0.0286327845382959,1035,3587,46.69269157708264,53.94096125185037,0.072026300059772,1836,46.591185725828105,4622,52.12889383315844,13325,54.10261871866313,33809,53.62205195412999,53.02379943035879,203.202,3.0893089236279008,6.599136276337428,221.44222541429227,752.2280000000001,13.679223190924152,29.568429609470805,468.251476088611,1702.3539999999998,26.303824519960152,58.28877884201379,822.1691554693903,3005.794,54.611487462733024,114.58746626309444,2004.34344879554,7820.913,121.70139707099428,257.5867417996402,4.046649486015865,4.665280268416202,5.403676610440092,2.634500069969947,4,2.4250585462727386e-08,4,0.0018897280431842,4,0.0851184271840111,-0.9969307152384441,0.08441475423524522,0,0.12280054729432253,0.6698641766329058,-0.5500605354635686,-0.5304359654301102,1.8731612248209073,T1_FORTE
22,17290,144.126,28.605,0.572,73.406,1.7179653253616274,3,8,11,3.133333333333334,6.925,3.6000000000000014,6.1000000000000005,2.372160000000002,12.009059999999998,0.3769676884838066,0.6701030927834584,0.4795650799886847,282,1.608,1056,1.5870000000000002,2369,1.571,4293,1.573,9167,1.59,282,774,121.655133318221,111.30150495071284,-0.0444444444444442,1056,1313,113.88991204258988,113.28595038781852,-0.0026585643752375,1056,3237,113.88991204258988,116.37046883897204,0.0107728337236533,2369,6798,113.55437778993912,108.617230929507,-0.0222222222222221,4293,115.7503296398765,9167,109.85151764461502,23381,100.86591035862855,57749,97.3163549145881,118.40343589162802,451.361,5.313174276499,11.503207516930448,442.5458158785357,1707.61,25.969543247132066,48.81473788596866,996.4838025670572,3783.2,62.173484198601344,115.76101852290172,1814.992367079408,6833.360999999999,109.97707541381482,208.7803366832186,3852.092722690551,14740.318,224.11601372414117,430.5693100376911,3.625843165899974,4.628580667754522,5.340474538205269,2.694222403340721,3,0.0226694594269824,3,0.3250788565689572,3,0.8337390296180971,-1.0735315994359642,1.976188904645759,0,2.017263062025726,0.7222503219498118,-0.36307446273457933,-0.594868734541381,3.6974565812514983,T5_ANOMALO
