idx,void_id,void_ra_deg,void_dec_deg,void_z,r_eff_mpc,theta_void_deg,n_center,n_edge,n_total_RM,center_abs_RM_mean,edge_abs_RM_mean,center_abs_RM_median,edge_abs_RM_median,center_RM_mad,edge_RM_mad,LRI_abs,LRI_mad,PVGU_VOID_RM_index
4,4407,237.406,16.985,0.463,63.467,1.8350412982967619,4,12,16,19.325,52.17916666666667,21.55,13.625,5.337359999999997,17.420550000000002,0.4594720587378295,0.530944625407143,0.4844874570720892
5,20571,235.861,56.008,0.457,56.705,1.6610550201892336,3,12,15,27.733333333333334,26.775000000000002,20.700000000000003,22.05,28.021140000000003,21.201179999999994,-0.017581409570401732,-0.13855421686746724,-0.05992189212437466
7,2571,138.792,2.233,0.52,64.052,1.6489527630175904,5,15,20,15.540000000000001,16.78,13.700000000000001,20.200000000000003,11.8608,24.75942,0.038366336633662186,0.35222672064776367,0.1482174710385977
10,12454,235.558,11.513,0.638,90.295,1.894618994497176,4,17,21,17.3,15.667647058823528,19.200000000000003,9.95,16.82751,16.901639999999997,-0.04951378356677526,0.0021978021978020347,-0.03141472854917321
11,11862,176.75,5.126,0.586,80.243,1.8331094843339386,3,14,17,13.5,22.639285714285712,11.7,15.700000000000001,16.901639999999997,8.00604,0.25289060183811923,-0.3571428571428427,0.03937889119478255
13,1005,125.041,38.447,0.46,54.079,1.5738005182283517,4,9,13,13.275,9.244444444444444,16.1,4.699999999999999,15.493169999999997,5.78214,-0.1789811274207396,-0.45644599303133737,-0.2760938303844488
14,6886,251.844,21.969,0.495,84.756,2.29215571056868,5,16,21,13.459999999999999,27.987499999999997,11.5,17.400000000000002,13.195140000000002,9.340380000000005,0.35050364919475596,-0.17105263157893963,0.1679589509239625
19,9173,212.982,39.695,0.487,50.79,1.3961372514678132,6,9,15,9.549999999999999,18.200000000000003,9.150000000000002,17.1,9.711030000000001,15.419039999999999,0.31171171171170065,0.22713864306783751,0.28211113768634855
20,18077,215.769,18.882,0.649,85.851,1.770840821601036,3,12,15,10.116666666666667,10.9,4.050000000000001,5.9,8.59908,12.379710000000001,0.037272006344169516,0.18021201413426702,0.08730100907070364
22,17290,144.126,28.605,0.572,73.406,1.7179653253616274,3,8,11,3.133333333333334,6.925,3.6000000000000014,6.1000000000000005,2.372160000000002,12.009059999999998,0.37696768848380663,0.6701030927834584,0.4795650799886847
25,21371,163.626,49.028,0.459,58.772,1.714101945280717,3,8,11,16.833333333333332,8.8375,12.7,8.95,3.558239999999998,7.19061,-0.3114754098360534,0.3379310344827275,-0.08418315432448008
26,17711,223.573,20.632,0.512,54.131,1.4153210065085877,4,8,12,11.174999999999999,4.9125,9.899999999999999,3.1500000000000004,14.677739999999996,2.0015100000000006,-0.3892773892773651,-0.7599999999999545,-0.5190303030302714
29,12812,256.34,31.79,0.496,55.864,1.5077495792125937,4,6,10,10.0,23.666666666666668,10.85,22.549999999999997,11.78667,32.839589999999994,0.4059405940593938,0.471760797342182,0.42897766520836966
30,6729,250.69,20.509,0.549,62.158,1.5156661487216223,4,10,14,23.3,25.22,20.400000000000002,16.25,9.117990000000002,24.018119999999996,0.039571310799669385,0.44966442953018754,0.18310390235535073
33,4395,238.258,20.882,0.595,91.328,2.054782435942348,3,11,14,10.633333333333333,57.60909090909092,11.8,21.099999999999998,1.1860799999999958,29.207219999999996,0.6883658969804518,0.9219512195121651,0.7701207598665514
35,19796,153.402,23.473,0.536,41.471,1.0357586798137104,4,8,12,7.125,10.787500000000001,7.4,9.1,10.155809999999999,13.936439999999997,0.20446615491973744,0.1569230769230704,0.18782607762090398
36,19847,167.397,25.655,0.569,65.068,1.5308549929197153,5,10,15,32.959999999999994,16.369999999999997,27.5,11.95,14.381220000000003,21.497700000000002,-0.33630650719642535,0.19834710743801093,-0.14917774207437268
37,19861,171.603,27.345,0.652,82.37,1.691220887023605,4,16,20,31.750000000000004,21.356250000000003,31.3,19.450000000000003,13.714049999999999,10.081679999999999,-0.19571613510650449,-0.15264797507787523,-0.18064227909648425
38,22129,194.166,43.544,0.466,69.996,2.0107874648017074,7,18,25,9.871428571428572,12.405555555555555,5.7,10.75,10.52646,14.900129999999997,0.1137553885068886,0.17201166180757332,0.13414508416212825
41,17611,206.257,24.07,0.466,69.175,1.9872024526781265,3,18,21,24.583333333333332,12.661111111111113,18.15,11.25,5.337359999999997,15.159584999999998,-0.32010739856801035,0.47920433996381046,-0.0403482900818731
42,17222,141.005,32.063,0.47,70.332,2.003244563886511,6,17,23,8.999999999999998,9.529411764705882,8.099999999999998,8.399999999999999,7.264739999999997,10.3782,0.028571428571427124,0.17647058823528433,0.08033613445377714
43,3576,224.795,30.535,0.605,62.732,1.3880740095831776,4,5,9,25.35,13.979999999999999,22.1,17.799999999999997,15.34491,2.372160000000002,-0.28909229595727726,-0.7322175732217158,-0.4441861429998307
44,21921,229.089,46.365,0.516,60.777,1.5767702634692657,5,10,15,19.92,16.95,17.2,18.85,13.491660000000001,12.750359999999999,-0.08055329536208086,-0.02824858757062049,-0.062246647635069735
